route,content_tier,editorial_fields_present,inventory_evidence_used,counts_live,claims_require_external_verification,review_status,remaining_concern
/coloring-pages,A,introduction|scope|distinction|selectionGuidance,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/animals,A,introduction|scope|distinction|selectionGuidance,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/anime-girls,A,introduction|scope|distinction|selectionGuidance,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/bakery,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/bats,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/bears,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/bees,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/beetles,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/birds,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/birthday,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/brachiosaurus,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/bridges,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/buildings,A,introduction|scope|distinction|selectionGuidance,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/butterflies,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/cakes,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/cars,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/castles,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/cats,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/chess,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/chibi,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/chibi-dogs,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/chibi-flowers,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/christmas,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/christmas-dogs,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/cows,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/crabs,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/cute,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
/coloring-pages/deer,B,introduction,"current membership, descriptive record identifiers, and canonical parent/child relationships",true,false,reviewed,
