"proposed_slug","proposed_title","asset_count","reason_backlog","what_would_make_it_promotable_later","likely_parent_hub","estimated_value","owner_notes"
"geometric-sushi","Geometric Sushi Coloring Pages","158","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub sushi.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","food","high",""
"mandala-sushi","Mandala Sushi Coloring Pages","158","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub sushi.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","food","high",""
"geometric-bakery","Geometric Bakery Coloring Pages","93","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub bakery.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","food","high",""
"mandala-bakery","Mandala Bakery Coloring Pages","93","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub bakery.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","food","high",""
"mandala-dogs","Mandala Dogs Coloring Pages","85","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub geometric-dogs.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","high",""
"geometric-mushrooms","Geometric Mushrooms Coloring Pages","79","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub mushrooms.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","plants","high",""
"mandala-mushrooms","Mandala Mushrooms Coloring Pages","77","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub mushrooms.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","plants","high",""
"chibi-dragons","Chibi Dragons Coloring Pages","64","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub dragons.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","fantasy","high",""
"chibi-mushrooms","Chibi Mushrooms Coloring Pages","45","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub mushrooms.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","plants","high",""
"plushie-bears","Plushie Bears Coloring Pages","43","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub bears.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","high",""
"halloween-bats","Halloween Bats Coloring Pages","13","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub bats.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"plushie-foxes","Plushie Foxes Coloring Pages","22","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub foxes.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","high",""
"plushie-pandas","Plushie Pandas Coloring Pages","22","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub pandas.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","high",""
"plushie-tigers","Plushie Tigers Coloring Pages","22","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub tigers.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","high",""
"plushie-koalas","Plushie Koalas Coloring Pages","20","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub koalas.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","high",""
"plushie-sloths","Plushie Sloths Coloring Pages","19","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub sloths.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"plushie-lions","Plushie Lions Coloring Pages","18","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub lions.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"plushie-otters","Plushie Otters Coloring Pages","18","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub otters.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"geometric-cakes","Geometric Cakes Coloring Pages","16","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub cakes.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","food","medium",""
"mandala-cakes","Mandala Cakes Coloring Pages","16","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub cakes.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","food","medium",""
"plushie-giraffes","Plushie Giraffes Coloring Pages","14","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub giraffes.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"plushie-hippos","Plushie Hippos Coloring Pages","14","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub hippos.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"plushie-rabbits","Plushie Rabbits Coloring Pages","14","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub rabbits.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"plushie-wolves","Plushie Wolves Coloring Pages","14","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub wolves.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"plushie-cows","Plushie Cows Coloring Pages","13","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub cows.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"plushie-moose","Plushie Moose Coloring Pages","13","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub moose.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"halloween-witches","Halloween Witches Coloring Pages","11","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub witches.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","halloween","medium",""
"christmas-bears","Christmas Bears Coloring Pages","10","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub bears.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"plushie-stegosaurus","Plushie Stegosaurus Coloring Pages","12","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub stegosaurus.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","dinosaurs","medium",""
"plushie-t-rex","Plushie T-Rex Coloring Pages","12","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub t-rex.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","dinosaurs","medium",""
"plushie-zebras","Plushie Zebras Coloring Pages","12","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub zebras.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"chibi-bats","Chibi Bats Coloring Pages","11","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub bats.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"chibi-witches","Chibi Witches Coloring Pages","11","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub witches.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","halloween","medium",""
"plushie-bees","Plushie Bees Coloring Pages","11","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub bees.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","insects","medium",""
"plushie-brachiosaurus","Plushie Brachiosaurus Coloring Pages","11","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub brachiosaurus.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","dinosaurs","medium",""
"plushie-elephants","Plushie Elephants Coloring Pages","11","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub elephants.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"plushie-horses","Plushie Horses Coloring Pages","11","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub horses.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"plushie-megalodon","Plushie Megalodon Coloring Pages","11","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub megalodon.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","prehistoric-animals","medium",""
"plushie-monkeys","Plushie Monkeys Coloring Pages","11","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub monkeys.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"plushie-mushrooms","Plushie Mushrooms Coloring Pages","11","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub mushrooms.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","plants","medium",""
"plushie-penguins","Plushie Penguins Coloring Pages","11","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub penguins.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","birds","medium",""
"plushie-sheep","Plushie Sheep Coloring Pages","11","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub sheep.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"chibi-knights","Chibi Knights Coloring Pages","10","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub knights.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","medieval-fantasy","medium",""
"plushie-bats","Plushie Bats Coloring Pages","10","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub bats.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"plushie-deer","Plushie Deer Coloring Pages","10","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub deer.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"plushie-ducks","Plushie Ducks Coloring Pages","10","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub ducks.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","birds","medium",""
"plushie-hedgehogs","Plushie Hedgehogs Coloring Pages","10","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub hedgehogs.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"plushie-llamas","Plushie Llamas Coloring Pages","10","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub llamas.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","animals","medium",""
"plushie-snakes","Plushie Snakes Coloring Pages","10","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub snakes.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","reptiles","medium",""
"plushie-velociraptors","Plushie Velociraptors Coloring Pages","10","Meets asset minimum, has clear intent, and passes overlap checks. Deferred because it overlaps heavily with selected hub velociraptors.","Needs stronger public naming, intent clarity, or a future owner-approved expansion pass.","dinosaurs","medium",""
