route,viewport,state,before_artifact,after_artifact,code_change,acceptance
/,1440x900,Categories open,pipeline/review/correct-repo-prompt-4/screenshots/before/desktop-1440-categories-open.png,pipeline/review/correct-repo-prompt-4/screenshots/after/desktop-1440-categories-open.png,preserved shared disclosure implementation,pass
/,1152x900,Seasonal open,pipeline/review/correct-repo-prompt-4/screenshots/before/desktop-1152-seasonal-open.png,pipeline/review/correct-repo-prompt-4/screenshots/after/desktop-1152-seasonal-open.png,right anchored roomy Seasonal panel with centered compact fallback,pass
/,390x844,mobile navigation open,pipeline/review/correct-repo-prompt-4/screenshots/before/mobile-390x844-navigation-open.png,pipeline/review/correct-repo-prompt-4/screenshots/after/mobile-390x844-navigation-open.png,preserved shared full viewport navigation,pass
/,390x844,mobile search empty,pipeline/review/correct-repo-prompt-4/screenshots/before/mobile-390x844-search-empty.png,pipeline/review/correct-repo-prompt-4/screenshots/after/mobile-390x844-search-empty.png,preserved compact modal and focus management,pass
/,390x844,mobile search results for dragon,pipeline/review/correct-repo-prompt-4/screenshots/before/mobile-390x844-search-results-dragon.png,pipeline/review/correct-repo-prompt-4/screenshots/after/mobile-390x844-search-results-dragon.png,preserved internal result scrolling,pass
/,390x844,mobile search no results,,pipeline/review/correct-repo-prompt-4/screenshots/after/mobile-390x844-search-no-results-long-query.png,preserved compact no-results state,pass
/,390x844,mobile search long labels,,pipeline/review/correct-repo-prompt-4/screenshots/after/mobile-390x844-search-long-labels.png,preserved content-sized wrapping and internal scrolling,pass
/,1440x900,Start with a collection,pipeline/review/correct-repo-prompt-4/screenshots/before/desktop-1440-start-collection-viewport-clean.png,pipeline/review/correct-repo-prompt-4/screenshots/after/desktop-1440-start-collection-viewport.png,preserved HubCard title count description hierarchy,pass
/,1440x900,More ways to browse,pipeline/review/correct-repo-prompt-4/screenshots/before/desktop-1440-more-ways-viewport-clean.png,pipeline/review/correct-repo-prompt-4/screenshots/after/desktop-1440-more-ways-viewport.png,preserved image backed HubCard implementation,pass
/coloring-pages/animals,1440x900,printable grid,pipeline/review/correct-repo-prompt-4/screenshots/before/desktop-1440-animals-grid-viewport.png,pipeline/review/correct-repo-prompt-4/screenshots/after/desktop-1440-animals-grid-viewport.png,preserved 2 by 3 orientation aware printable frame,pass
/printables/anime-girls/anime-girl-ankylosaurus-hoodie-plushie-c819919e77,1440x900,portrait printable detail,pipeline/review/correct-repo-prompt-4/screenshots/before/desktop-1440-variant-printable.png,pipeline/review/correct-repo-prompt-4/screenshots/after/desktop-1440-variant-printable.png,preserved natural size principal WebP and compact actions,pass
,inventory,landscape framing,,,no approved runtime landscape record,not-applicable
,inventory,square framing,,,no approved runtime square record,not-applicable
/,1440x900,advertising OFF,pipeline/review/correct-repo-prompt-4/screenshots/before/desktop-1440-ad-off.png,pipeline/review/correct-repo-prompt-4/screenshots/after/desktop-1440-ad-off-final.png,preserved OFF output with no ad surface,pass
/,1440x900,advertising PLACEHOLDER,,pipeline/review/correct-repo-prompt-4/screenshots/after/desktop-1440-ad-placeholder.png,preserved explicit placeholder mode; Seasonal-only fix has no ad path impact,pass
/privacy,1440x900,trust page,pipeline/review/correct-repo-prompt-4/screenshots/before/desktop-1440-privacy.png,pipeline/review/correct-repo-prompt-4/screenshots/after/desktop-1440-privacy.png,preserved narrow trust reading measure and typography,pass
