route,current_purpose,previous_parent,current_inventory,overlap_evidence,audit_recommendation,final_action,final_parent,final_inventory,final_indexability,final_sitemap_status,canonical_behavior,internal_link_changes,content_treatment,rationale
/coloring-pages,"The complete library spans animals, characters, patterns, plants, food, vehicles, places, and seasonal designs.",,6352,,retain and index,retain and index,,6352,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier A; reviewed,Primary gallery destination with comprehensive browsing intent.
/coloring-pages/animals,"Wild and domestic animals range from dogs and birds to reptiles, insects, sea life, and prehistoric species.",hub_coloring_pages,1450,,retain and index,retain and index,/coloring-pages,1450,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier A; reviewed,weak filename/title evidence: 14.4% of members contain a route-subject token
/coloring-pages/anime-girls,"Character portraits and scenes use anime-inspired faces, hair, clothing, and expressive poses.",hub_coloring_pages,905,,retain and index,retain and index,/coloring-pages,905,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier A; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/bakery,"Breads, pastries, cookies, baking tools, and decorated baked goods make up this food-focused collection.",hub_food,93,,retain and index,retain and index,/coloring-pages/food,93,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/bats,"Bat designs include flying silhouettes, hanging poses, close views, and seasonal character treatments.",hub_animals,27,,retain and index,retain and index,/coloring-pages/animals,27,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 25.9% of members contain a route-subject token
/coloring-pages/bears,"Bear subjects appear as standing animals, forest scenes, family groups, and stylized characters.",hub_animals,60,,retain and index,retain and index,/coloring-pages/animals,60,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 6.7% of members contain a route-subject token
/coloring-pages/bees,"Bees appear in flight, on flowers, near hives, and in decorative insect compositions.",hub_insects,15,,retain and index,retain and index,/coloring-pages/insects,15,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 6.7% of members contain a route-subject token
/coloring-pages/beetles,"Beetle outlines cover varied body shapes, patterned shells, close views, and nature settings.",hub_insects,25,,retain and index,retain and index,/coloring-pages/insects,25,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 8.0% of members contain a route-subject token
/coloring-pages/birds,"Songbirds, water birds, birds of prey, and other feathered species appear alone or in natural settings.",hub_animals,188,,retain and index,retain and index,/coloring-pages/animals,188,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 89.9% of members contain a route-subject token
/coloring-pages/birthday,"Cakes, candles, gifts, balloons, party tables, and celebratory characters define the birthday inventory.",hub_holidays,211,211 records; contains all 190 Birthday Celebration records and contributes 21 unique records.,retain and index,retain and index,/coloring-pages/holidays,211,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/brachiosaurus,"Long-necked Brachiosaurus designs show standing, walking, feeding, and scenic prehistoric poses.",hub_dinosaurs,15,,retain and index,retain and index,/coloring-pages/dinosaurs,15,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,direct filename/title evidence: 100.0% of members contain a route-subject token
/coloring-pages/bridges,"Bridge designs focus on recognizable spans, structural forms, crossings, and surrounding city or landscape views.",hub_buildings,23,,retain and index,retain and index,/coloring-pages/buildings,23,index,included,self-referencing canonical,"eligible through corrected parent, child, and explicit related relationships",tier B; reviewed,weak filename/title evidence: 0.0% of members contain a route-subject token
