internal_identifier,public_title,route,canonical_url,parent_hub,child_hubs,collection_type,current_visible_count,independently_calculated_count,sitemap_count,first_page_result_count,total_unique_printable_ids,indexability,robots_directive,sitemap_inclusion,pagination_state,introduction_text,introduction_length,content_template_fingerprint,fingerprint_occurrences,repeated_headings,repeated_instructional_blocks,related_collection_sections,representative_image,representative_belongs_to_collection,distinct_narrower_subcollections,meaningful_internal_links,distinct_user_intent_evidence,suspicious_internal_or_production_wording,missing_or_inaccurate_description,count_inconsistency,preliminary_recommendation,recommendation_reason
hub_coloring_pages,Coloring Pages,/coloring-pages,https://www.ilovecoloringpage.com/coloring-pages,,hub_animals|hub_anime_girls|hub_buildings|hub_detailed_for_adults|hub_dungeon|hub_fantasy|hub_food|hub_for_kids|hub_forest|hub_garden|hub_holidays|hub_ocean|hub_plants|hub_playing_cards|hub_plushies|hub_vehicles,root gallery,6352,6352,1,48,6352,index,"index,follow",true,133 pages,"The complete library spans animals, characters, patterns, plants, food, vehicles, places, and seasonal designs.",111,56fac39a,1,,0,1,animals__animals-alligator__4feec8505a,true,16,16,Primary gallery destination with comprehensive browsing intent.,,false,false,retain and index,Primary gallery destination with comprehensive browsing intent.
hub_animals,Animals Coloring Pages,/coloring-pages/animals,https://www.ilovecoloringpage.com/coloring-pages/animals,hub_coloring_pages,hub_bats|hub_bears|hub_birds|hub_cats|hub_chibi_dogs|hub_christmas_dogs|hub_cows|hub_deer|hub_dogs|hub_elephants|hub_foxes|hub_geometric_dogs|hub_giraffes|hub_hedgehogs|hub_hippos|hub_horses|hub_insects|hub_koalas|hub_lions|hub_llamas|hub_monkeys|hub_moose|hub_otters|hub_pandas|hub_plushie_animals|hub_plushie_cats|hub_plushie_dogs|hub_prehistoric_animals|hub_rabbits|hub_reptiles|hub_sea_life|hub_sheep|hub_sloths|hub_tigers|hub_wolves|hub_zebras|hub_dodo,subject parent,1450,1450,1,48,1450,index,"index,follow",true,31 pages,"Wild and domestic animals range from dogs and birds to reptiles, insects, sea life, and prehistoric species.",108,15899740,1,,0,1,animals__animals-alligator__4feec8505a,true,37,38,weak filename/title evidence: 14.4% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 14.4% of members contain a route-subject token
hub_anime_girls,Anime Girls Coloring Pages,/coloring-pages/anime-girls,https://www.ilovecoloringpage.com/coloring-pages/anime-girls,hub_coloring_pages,,style,905,905,1,48,905,index,"index,follow",true,19 pages,"Character portraits and scenes use anime-inspired faces, hair, clothing, and expressive poses.",94,a89c5fe7,1,,0,1,anime-girls__anime-girl-air-balloon__1f6b5be7bc,true,0,8,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_bakery,Bakery Coloring Pages,/coloring-pages/bakery,https://www.ilovecoloringpage.com/coloring-pages/bakery,hub_food,hub_cookie|hub_gingerbread,subject parent,93,93,1,48,93,index,"index,follow",true,2 pages,"Breads, pastries, cookies, baking tools, and decorated baked goods make up this food-focused collection.",104,5218e143,1,,0,1,mandala-geometry-patterns__mandala-geometry-patterns-bakery-animal-shaped-cookies__02c4796fed,true,2,8,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
hub_bats,Bats Coloring Pages,/coloring-pages/bats,https://www.ilovecoloringpage.com/coloring-pages/bats,hub_animals,,subject,27,27,1,27,27,index,"index,follow",true,single page,"Bat designs include flying silhouettes, hanging poses, close views, and seasonal character treatments.",102,b0263458,1,,0,1,holiday__holiday-halloween-dracula-in-coffin-with-bats-coloring-page__4397409e48,true,0,8,weak filename/title evidence: 25.9% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 25.9% of members contain a route-subject token
hub_bears,Bears Coloring Pages,/coloring-pages/bears,https://www.ilovecoloringpage.com/coloring-pages/bears,hub_animals,,subject,60,60,1,48,60,index,"index,follow",true,2 pages,"Bear subjects appear as standing animals, forest scenes, family groups, and stylized characters.",96,621a89e1,1,,0,1,christmas__holiday-christmas-animals-bears__be6558c950,true,0,8,weak filename/title evidence: 6.7% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 6.7% of members contain a route-subject token
hub_bees,Bees Coloring Pages,/coloring-pages/bees,https://www.ilovecoloringpage.com/coloring-pages/bees,hub_insects,,subject,15,15,1,15,15,index,"index,follow",true,single page,"Bees appear in flight, on flowers, near hives, and in decorative insect compositions.",85,4b3e686c,1,,0,1,anime-girls__anime-girl-summoning-killer-bees__646adb9f40,true,0,7,weak filename/title evidence: 6.7% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 6.7% of members contain a route-subject token
hub_beetles,Beetles Coloring Pages,/coloring-pages/beetles,https://www.ilovecoloringpage.com/coloring-pages/beetles,hub_insects,,subject,25,25,1,25,25,index,"index,follow",true,single page,"Beetle outlines cover varied body shapes, patterned shells, close views, and nature settings.",93,8c710b22,1,,0,1,anime-girls__anime-girl-summoning-jutsu-beetles__13ee413203,true,0,8,weak filename/title evidence: 8.0% of members contain a route-subject token,,false,false,retain and index,weak filename/title evidence: 8.0% of members contain a route-subject token
hub_birds,Birds Coloring Pages,/coloring-pages/birds,https://www.ilovecoloringpage.com/coloring-pages/birds,hub_animals,hub_ducks|hub_eagles|hub_owls|hub_penguins,subject parent,188,188,1,48,188,index,"index,follow",true,4 pages,"Songbirds, water birds, birds of prey, and other feathered species appear alone or in natural settings.",103,28685b91,1,,0,1,anime-girls__anime-girl-birds-duck__5c61314642,true,4,8,direct filename/title evidence: 89.9% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 89.9% of members contain a route-subject token
hub_birthday,Birthday Coloring Pages,/coloring-pages/birthday,https://www.ilovecoloringpage.com/coloring-pages/birthday,hub_holidays,hub_birthday_celebration,season or occasion,211,211,1,48,211,index,"index,follow",true,5 pages,"Cakes, candles, gifts, balloons, party tables, and celebratory characters define the birthday inventory.",104,4561153a,1,,0,1,anime-girls__anime-girl-birthday-cake__a75fa3e263,true,1,5,direct filename/title evidence: 100.0% of members contain a route-subject token,,false,false,retain and index,direct filename/title evidence: 100.0% of members contain a route-subject token
