"proposed_slug","proposed_title","asset_count","strongest_matching_assets","likely_parent_hubs","reason_for_manual_review","overlap_score","seo_intent","risk","owner_decision","owner_notes"
"birthday-cakes","Birthday Cakes Coloring Pages","7","Anime Girl Birthday Cake; Anime Girl Celetbrating Birthday Cake; Holiday Birthday Cake With Candles; Holiday Birthday Cupcake; Holiday Birthday Dog With Birthday Cake; Mandala Geometry Patterns Bakery Birthday Cake; Mandala Geometry Patterns Bakery Birthday Cupcake","food; birthday; holidays","Below combination minimum of 10 assets but above absolute minimum.","existing:1; comparable:0","Birthday Cakes printable coloring pages for visitors who want both the subject and the style or season.","below normal asset threshold","",""
"halloween-cats","Halloween Cats Coloring Pages","7","Chibi Holiday Halloween Black Cat Peeking Out Of Pumpkin Coloring Page; Chibi Holiday Halloween Black Cat Sitting On Fence Under Moon Coloring Page; Chibi Holiday Halloween Cute Halloween Ghost Cat Bat Friends Coloring Page; Chibi Holiday Halloween Mummy Running Away From Black Cat Coloring Page; Chibi Holiday Halloween Witch With Black Cat On Shoulder Coloring Page; Holiday Halloween Black Cat Sitting On Fence Under Moon Coloring Page; Holiday Halloween Costume Plushie Kitten Cat Family","animals; cats; halloween","Below combination minimum of 10 assets but above absolute minimum.","existing:1; comparable:0","Halloween Cats printable coloring pages for visitors who want both the subject and the style or season.","below normal asset threshold","",""
"halloween-houses","Halloween Houses Coloring Pages","7","Chibi Holiday Halloween Haunted House Coloring Page; Chibi Holiday Halloween Haunted House On Hill Coloring Page; Chibi Holiday Halloween Haunted House On Hill Under Full Moon Coloring Page; Chibi Holiday Halloween Haunted House On Stilts In Swamp Coloring Page; Chibi Holiday Halloween Haunted House With Bats Flying Around Coloring Page; Chibi Holiday Halloween Haunted House With Broken Fence Coloring Page; Holiday Halloween Haunted House On Hill Under Full Moon Coloring Page","buildings; halloween; holidays","Below combination minimum of 10 assets but above absolute minimum.","existing:1; comparable:0","Halloween Houses printable coloring pages for visitors who want both the subject and the style or season.","below normal asset threshold","",""
"birthday-dragons","Birthday Dragons Coloring Pages","6","Holiday Birthday Celebration Dragon; Holiday Birthday Celebration Fire Dragon; Holiday Birthday Celebration Ice Dragon; Holiday Birthday Celebration Plushie Baby Dragon Family; Holiday Birthday Celebration Plushie Dragon Family; Holiday Birthday Celebration Plushie Komodo Dragon Family","fantasy; birthday; fantasy-creatures","Below combination minimum of 10 assets but above absolute minimum.","existing:1; comparable:0","Birthday Dragons printable coloring pages for visitors who want both the subject and the style or season.","below normal asset threshold","",""
"christmas-dragons","Christmas Dragons Coloring Pages","6","Holiday Christmas Animals Dragons; Holiday Christmas Plushie Baby Dragon Family; Holiday Christmas Plushie Baby Dragon; Holiday Christmas Plushie Dragon Family; Holiday Christmas Plushie Dragon; Holiday Christmas Plushie Komodo Dragon Family","fantasy; christmas; fantasy-creatures","Below combination minimum of 10 assets but above absolute minimum.","existing:1; comparable:0","Christmas Dragons printable coloring pages for visitors who want both the subject and the style or season.","below normal asset threshold","",""
"snowmen","Snowmen Coloring Pages","7","Chibi Plushie Snowman Character; Christmas Holiday Snowman; Holiday Christmas Snowman Decorated With String Lights Coloring Page; Holiday Christmas Snowman Hugging Small Penguin Friend Coloring Page; Holiday Christmas Snowman Ice Skating On Frozen Pond Coloring Page; Holiday Christmas Snowman With Carrot Nose And Top Hat Coloring Page; Mandala Geometry Patterns Plushie Snowman Character","christmas; holidays","Below seasonal minimum of 8 assets but above absolute minimum.","existing:0.714; comparable:0","Snowman coloring pages for winter and Christmas themes.","below normal asset threshold","",""
"chibi-cats","Chibi Cats Coloring Pages","9","Chibi Cat; Chibi Holiday Halloween Black Cat Peeking Out Of Pumpkin Coloring Page; Chibi Holiday Halloween Black Cat Sitting On Fence Under Moon Coloring Page; Chibi Holiday Halloween Cute Halloween Ghost Cat Bat Friends Coloring Page; Chibi Holiday Halloween Mummy Running Away From Black Cat Coloring Page; Chibi Holiday Halloween Witch With Black Cat On Shoulder Coloring Page; Chibi Kitten; Chibi Plushie Kitten Cat","animals; cats; chibi","Below combination minimum of 10 assets but above absolute minimum.","existing:1; comparable:0","Chibi Cats printable coloring pages for visitors who want both the subject and the style or season.","below normal asset threshold","",""
"plushie-butterflies","Plushie Butterflies Coloring Pages","9","Anime Girl Summoning Butterfly Plushies; Chibi Plushie Butterfly; Holiday Birthday Celebration Plushie Butterfly Family; Holiday Christmas Plushie Butterfly Family; Holiday Halloween Costume Plushie Butterfly Family; Mandala Geometry Patterns Plushie Butterfly Insects; Mandala Geometry Patterns Plushie Butterfly; Plushie Butterfly Family","insects; animals; butterflies","Below combination minimum of 10 assets but above absolute minimum.","existing:1; comparable:0","Plushie Butterflies printable coloring pages for visitors who want both the subject and the style or season.","below normal asset threshold","",""
"plushie-diplodocus","Plushie Diplodocus Coloring Pages","9","Anime Girl Summoning Jutsu Diplodocus Plushies; Chibi Plushie Prehistoric Diplodocus; Holiday Birthday Celebration Plushie Prehistoric Diplodocus Family; Holiday Christmas Plushie Prehistoric Diplodocus Family; Holiday Halloween Costume Plushie Prehistoric Diplodocus Family; Mandala Geometry Patterns Plushie Prehistoric Diplodocus Animal; Mandala Geometry Patterns Plushie Prehistoric Diplodocus; Plushie Prehistoric Diplodocus Family","dinosaurs; animals; plushies","Below combination minimum of 10 assets but above absolute minimum.","existing:1; comparable:0","Plushie Diplodocus printable coloring pages for visitors who want both the subject and the style or season.","below normal asset threshold","",""
"plushie-lizards","Plushie Lizards Coloring Pages","9","Anime Girl Summoning Australian Throny Devil Lizard Plushies; Anime Girl Summoning Frilled Lizard Plushies; Chibi Plushie Iguana; Holiday Birthday Celebration Plushie Iguana Family; Holiday Christmas Plushie Iguana Family; Holiday Halloween Costume Plushie Iguana Family; Mandala Geometry Patterns Plushie Iguana; Plushie Iguana Family","reptiles; plushies","Below combination minimum of 10 assets but above absolute minimum.","existing:1; comparable:0","Plushie Lizards printable coloring pages for visitors who want both the subject and the style or season.","below normal asset threshold","",""
