slug,title,asset_count,evidence_terms,representative_assets,reason_not_promoted,owner_decision,owner_notes
car-chevrolet,Car Chevrolet Coloring Pages,9,car chevrolet,mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-chevrolet__a309eedb91; mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-chevrolet-silverado__22b82d2b8c; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-chevrolet-blazer__25b0a2d57e; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-chevrolet-blazer-ev__58a4fb66a7; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-chevrolet-camaro__9ce735cd28; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-chevrolet-camaro-car__144044ffc5; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-chevrolet-corvette-c8__2ad0260f72; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-chevrolet-impala-classic__d8a251c4b9,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
car-classic,Car Classic Coloring Pages,9,car classic,mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-classic-chevy-bel-air__2bb12fb520; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-classic-chevy-bel-air-car__8693c33091; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-classic-dodge-dart__fb8a0518ef; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-classic-dodge-dart-car__3e948e0221; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-classic-ford-model-t__1e85ab8567; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-classic-ford-model-t-car__df0f54a273; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-classic-ford-thunderbird__f8dc8efa85; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-classic-volkswagen-beetle__5efd045f2e,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
chevrolet,Chevrolet Coloring Pages,9,chevrolet,mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-chevrolet__a309eedb91; mandala-geometry-patterns__mandala-geometry-patterns-vehiacle-cars-chevrolet-silverado__22b82d2b8c; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-chevrolet-blazer__25b0a2d57e; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-chevrolet-blazer-ev__58a4fb66a7; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-chevrolet-camaro__9ce735cd28; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-chevrolet-camaro-car__144044ffc5; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-chevrolet-corvette-c8__2ad0260f72; mandala-geometry-patterns__mandala-geometry-patterns-vehicle-cars-chevrolet-impala-classic__d8a251c4b9,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
cup,Cup Coloring Pages,9,cup,gardening__gardening-mushroom-angry-cup-fungus-character__9d5610d95b; gardening__gardening-mushroom-cup-fungus__2fcbeaa472; gardening__gardening-mushroom-lichen-cup__76d6d63296; mandala-geometry-patterns__mandala-geometry-patterns-bakery-cup-measuring-set__6d64fbaecf; mandala-geometry-patterns__mandala-geometry-patterns-mushroom-cup-fungus__c2383dbe9b; mandala-geometry-patterns__mandala-geometry-patterns-mushroom-lichen-cup__f4ff7bd747; mandala-geometry-patterns__mandala-geometry-patterns-sushi-cup-of-green-tea__da9a87fa49; mandala-geometry-patterns__mandala-geometry-patterns-sushi-cup-of-miso-soup__5663462a14,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
locomotive-vintage,Locomotive Vintage Coloring Pages,9,locomotive vintage,mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-vintage-caboose-carriage__2c50e80ed8; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-vintage-circus-train-with-a__50f1fa51be; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-vintage-coal-car-with-shove__24834c30e1; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-vintage-logging-train-carry__4d5ab47f61; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-vintage-mail-train-carriage__34df490867; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-vintage-milk-train-with-dai__94a002da52; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-vintage-mining-train-with-o__edce191e28; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-vintage-steam-train-crossin__d38d0feae8,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
paper,Paper Coloring Pages,9,paper,chibi__chibi-flowers-paper-daisy__735e683ad4; chibi__chibi-flowers-paper-daisy-kawaii__14c5b1714c; flowers__flowers-paper-daisy__72442e2738; mandala-geometry-patterns__mandala-geometry-patterns-flowers-paper-daisy__13f3be6617; mandala-geometry-patterns__mandala-geometry-patterns-japan-paper-folding-workshop__4732138cb0; mandala-geometry-patterns__mandala-geometry-patterns-japan-paper-umbrella-display__198c452cc8; mandala-geometry-patterns__mandala-geometry-patterns-japan-shoji-paper-doors__7cdffb393b; mandala-geometry-patterns__mandala-geometry-patterns-japan-wagasa-oil-paper-umbrella__afa338eab4,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
parasol,Parasol Coloring Pages,9,parasol,chibi__chibi-mushroom-shaggy-parasol__cd738eb2f7; gardening__gardening-mushroom-green-spored-parasol__90854c73d3; gardening__gardening-mushroom-parasol-macrolepiota__d0472e1950; gardening__gardening-mushroom-shaggy-parasol__236b5f75e6; mandala-geometry-patterns__mandala-geometry-patterns-japan-geisha-with-parasol__22021a571c; mandala-geometry-patterns__mandala-geometry-patterns-japan-japanese-parasol__0447ce5247; mandala-geometry-patterns__mandala-geometry-patterns-mushroom-green-spored-parasol__4a3deb676b; mandala-geometry-patterns__mandala-geometry-patterns-mushroom-parasol-macrolepiota__5a06aea56a,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
platter,Platter Coloring Pages,9,platter,mandala-geometry-patterns__mandala-geometry-patterns-bakery-holiday-pastry-platter__0897d81747; mandala-geometry-patterns__mandala-geometry-patterns-japan-japanese-food-platter__13725381d8; mandala-geometry-patterns__mandala-geometry-patterns-japan-tempura-platter__55f2097d57; mandala-geometry-patterns__mandala-geometry-patterns-sushi-chef-holding-platter__803f65197e; mandala-geometry-patterns__mandala-geometry-patterns-sushi-platter-with-ginger-rose__f2ad32c446; mandala-geometry-patterns__mandala-geometry-patterns-sushi-sashimi-assortment-platter__27e09a2f43; mandala-geometry-patterns__mandala-geometry-patterns-sushi-sushi-party-platter__6feb3acabf; mandala-geometry-patterns__mandala-geometry-patterns-sushi-sushi-platter-roll-tuna__8c2e5aadac,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
railway,Railway Coloring Pages,9,railway,mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-cogwheel-train-on-alpine-ra__ee1196d89a; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-electric-locomotive-on-rail__56700cbf81; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-mountain-rack-railway-train__e82ddfc415; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-narrow-gauge-railway-train-__220bfb7725; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-railway-bridge-over-river-s__20aaf431d4; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-railway-crossing-with-flash__2329f180b7; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-railway-crossing-with-warni__bc802e98d3; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-railway-maintenance-train-w__093f35a6b5,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
train-locomotive-vintage,Train Locomotive Vintage Coloring Pages,9,train locomotive vintage,mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-vintage-caboose-carriage__2c50e80ed8; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-vintage-circus-train-with-a__50f1fa51be; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-vintage-coal-car-with-shove__24834c30e1; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-vintage-logging-train-carry__4d5ab47f61; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-vintage-mail-train-carriage__34df490867; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-vintage-milk-train-with-dai__94a002da52; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-vintage-mining-train-with-o__edce191e28; mandala-geometry-patterns__mandala-geometry-patterns-trains-locomotives-vintage-steam-train-crossin__d38d0feae8,Held back because the phrase came only from generic n-gram mining rather than a clear subject extractor.,,
